created_at,audio_source_id,track_id
2016-07-05 00:00:24,2886,967617
2016-07-05 00:00:24,4006,942520
2016-07-05 00:00:24,1288,637491
2016-07-05 00:00:24,2699,2445
2016-07-05 00:00:24,2514,44812
2016-07-05 00:00:25,5478,95432
2016-07-05 00:00:25,1623,370932
2016-07-05 00:00:25,833,187603
2016-07-05 00:00:25,3649,29170
2016-07-05 00:00:25,3834,163134
2016-07-05 00:00:25,4112,969313
2016-07-05 00:00:26,3440,3010
2016-07-05 00:00:26,378,147632
2016-07-05 00:00:26,1963,155544
2016-07-05 00:00:26,5843,605091
2016-07-05 00:00:26,4262,708454
2016-07-05 00:00:27,4212,756441
2016-07-05 00:00:27,4071,137491
2016-07-05 00:00:27,4172,156029
2016-07-05 00:00:27,13138,447923
2016-07-05 00:00:28,328,681616
2016-07-05 00:00:28,333,696901
2016-07-05 00:00:28,4392,1330
2016-07-05 00:00:28,5677,739334
2016-07-05 00:00:28,5487,248861
2016-07-05 00:00:28,9398,277625
2016-07-05 00:00:28,3740,33255
2016-07-05 00:00:29,773,224392
2016-07-05 00:00:29,3510,922176
2016-07-05 00:00:29,14061,27811
2016-07-05 00:00:29,3904,893717
2016-07-05 00:00:29,5161,824628
2016-07-05 00:00:29,8467,209250
2016-07-05 00:00:30,1799,701103
2016-07-05 00:00:30,1358,643133
2016-07-05 00:00:30,7276,695236
2016-07-05 00:00:31,7321,696827
2016-07-05 00:00:31,8597,148390
2016-07-05 00:00:31,1438,695223
2016-07-05 00:00:31,13658,48821
2016-07-05 00:00:31,8817,695090
2016-07-05 00:00:31,13410,106070
2016-07-05 00:00:32,8062,53146
2016-07-05 00:00:32,9401,173048
2016-07-05 00:00:32,9571,635619
2016-07-05 00:00:32,9407,148331
2016-07-05 00:00:32,149,174043
2016-07-05 00:00:32,264,643162
2016-07-05 00:00:32,13324,688515
2016-07-05 00:00:33,1743,237909
2016-07-05 00:00:33,7102,695266
2016-07-05 00:00:33,379,148721
2016-07-05 00:00:33,8661,969313
2016-07-05 00:00:33,13404,205558
2016-07-05 00:00:33,189,206
2016-07-05 00:00:34,9447,172368
2016-07-05 00:00:34,215,65637
2016-07-05 00:00:34,9632,147860
2016-07-05 00:00:34,259,970661
2016-07-05 00:00:34,9556,147010
2016-07-05 00:00:34,11275,666657
2016-07-05 00:00:34,9541,157636
2016-07-05 00:00:34,9492,224160
2016-07-05 00:00:34,4081,649946
2016-07-05 00:00:34,13425,697066
2016-07-05 00:00:34,3110,167593
2016-07-05 00:00:34,10057,172570
2016-07-05 00:00:35,1179,154332
2016-07-05 00:00:35,9912,697110
2016-07-05 00:00:35,3929,11154
2016-07-05 00:00:36,849,4281
2016-07-05 00:00:36,1874,173761
2016-07-05 00:00:36,2088,698914
2016-07-05 00:00:36,5947,191990
2016-07-05 00:00:36,10161,873707
2016-07-05 00:00:36,10527,50903
2016-07-05 00:00:37,1184,160755
2016-07-05 00:00:37,930,152861
2016-07-05 00:00:37,2433,172602
2016-07-05 00:00:37,2473,191907
2016-07-05 00:00:37,11006,125816
2016-07-05 00:00:38,2393,644510
2016-07-05 00:00:38,1635,643155
2016-07-05 00:00:38,10866,352075
2016-07-05 00:00:38,1295,6170
2016-07-05 00:00:38,11972,886516
2016-07-05 00:00:38,2029,643155
2016-07-05 00:00:38,2033,167862
2016-07-05 00:00:38,2204,67387
2016-07-05 00:00:39,1465,541500
2016-07-05 00:00:39,12337,762869
2016-07-05 00:00:40,11306,642512
2016-07-05 00:00:40,12777,697075
2016-07-05 00:00:40,2703,223010
2016-07-05 00:00:40,12367,544773
2016-07-05 00:00:40,2209,659987
2016-07-05 00:00:40,1904,847250
2016-07-05 00:00:41,3183,150739
2016-07-05 00:00:41,1784,155389
2016-07-05 00:00:41,3313,687984
2016-07-05 00:00:41,12462,27137
2016-07-05 00:00:41,11361,633882
2016-07-05 00:00:41,1525,642508
2016-07-05 00:00:41,2174,697047
2016-07-05 00:00:41,2069,648441
2016-07-05 00:00:41,2320,153493
2016-07-05 00:00:41,2459,687910
2016-07-05 00:00:42,3063,709172
2016-07-05 00:00:42,1690,161723
2016-07-05 00:00:42,11907,447559
2016-07-05 00:00:42,3935,173756
2016-07-05 00:00:42,11582,149791
2016-07-05 00:00:42,12046,97680
2016-07-05 00:00:43,2460,969313
2016-07-05 00:00:43,3611,26628
2016-07-05 00:00:43,12927,683215
